kappa,hondo,endpoint,step,x,logcdf,logpdf
10.0,2.0,lower,3,0.09990234375000004,-15.427575444288074,21.66590006932794
10.0,2.0,lower,4,0.09990234375000005,-15.27488461951245,21.513209244552446
10.0,2.0,upper,1,0.09999999999999999,-0.02529211058413248,33.34732648850013
10.0,2.0,upper,2,0.09999999999999998,-0.027972791975658863,32.4672608421811
10.0,2.0,upper,3,0.09999999999999996,-0.029406117270237425,32.031737133272145
10.0,2.0,upper,4,0.09999999999999995,-0.030408975900199503,31.739859831510945
10.0,10.0,lower,1,0.09999999999000002,-1.5497437726136534,34.670961464605774
10.0,10.0,lower,2,0.09999999999000003,-1.494007671841482,34.16933780666033
10.0,10.0,lower,3,0.09999999999000005,-1.4584304738108018,33.84914427339003
10.0,10.0,lower,4,0.09999999999000006,-1.4322426734989497,33.613455319590926
10.0,10.0,upper,1,0.09999999999999999,-0.028319974353035498,33.57691414709331
10.0,10.0,upper,2,0.09999999999999998,-0.03175188634098617,32.725055027274315
10.0,10.0,upper,3,0.09999999999999996,-0.03362856991996543,32.3049881452816
10.0,10.0,upper,4,0.09999999999999995,-0.034959626738983646,32.0240874962616
